"No Fournisseur","Division","No Doc d'achat","Item","No Pièce","Description","Sous Description","No dessin","Rév dessin","Prix","Devise","UM Prix","Base de prix","Unité qté à Unité prix","Unité prix à Unité qté","Ach","Planif","Pays Orig","Code HS","Code visa","UM Qté","Type emb","Date déb qté cum","Qté cum  reçue","Qté cum zone ferme","Qté cum zone matière","Qté dern récep","Date dern récep","Type d'appel","No appel","Date appel","Heure appel","Date fin zone ferme","Date fin zone Matière","Qté Cédulée","Qté Reçue","Bal à recevoir","Date Récp au Site BRP","Heure Récp au Site BRP","Regroup","Ferme ou Matière","Qté Appel Préc","Diff qté cédulée"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","0","0","0","2008/07/07","00:00:00","W","M","70.000","-70.000"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","70.000","0","70.000","2008/07/07","00:00:00","D","F","0","70.000"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","910.000","0","910.000","2008/08/18","00:00:00","W","","910.000","0"
"0000104947","0001","5500034164","00010","503190966","CULBUTEUR DROIT","","503190966","B.","2.94","USD","PC","1","1","1","150","201","CA","","","PC","82","2008/05/02","0","70.000","70.000","0","0000/00/00","1","0000000006","2008/06/09","01:08:55","2008/07/07","2008/08/18","273.000","0","273.000","2008/08/25","00:00:00","W","","273.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/06/20","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","0","0","0","2008/07/07","00:00:00","W","M","2400.000","-2400.000"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/07/08","00:00:00","D","M","0","1200.000"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/07/10","00:00:00","D","M","0","1200.000"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/08/04","00:00:00","W","M","2400.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/08/11","00:00:00","W","M","2400.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/08/18","00:00:00","W","","2400.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/09/01","00:00:00","W","","1200.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/09/08","00:00:00","W","","2400.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/09/15","00:00:00","W","","1200.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","6000.000","0","6000.000","2008/09/22","00:00:00","W","","6000.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","2400.000","0","2400.000","2008/10/13","00:00:00","W","","2400.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","4800.000","0","4800.000","2008/10/20","00:00:00","W","","4800.000","0"
"0000104947","0001","5500033212","00010","503191215","ARBRE SUPPÉRIEUR","","503191215","","2.00","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","1200.000","2400.000","9600.000","1200.000","2008/06/06","1","0000000009","2008/06/09","01:08:52","2008/07/07","2008/08/18","504.000","0","504.000","2008/11/10","00:00:00","W","","416.000","88.000"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/06/17","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/06/27","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/07/04","00:00:00","D","F","1200.000","0"
"0000104947","0001","5500033213","00010","503191233","AXE SUPERIEUR","","503191233","","4.53","USD","PC","1","1","1","150","201","CA","","","PC","P4","2008/04/09","485.000","4085.000","4085.000","485.000","2008/05/09","1","0000000010","2008/06/09","01:08:52","2008/07/07","2008/08/18","1200.000","0","1200.000","2008/09/29","00:00:00","W","","1200.000","0"
