15165,D07,3014263,1,5500016646,10,575,0,EA ,9,3/6/2008,D,S,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,4/7/2008,W,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,5/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,6/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,8/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,9/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,10/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,11/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,9,12/1/2008,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,22,1/1/2009,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,10,2/1/2009,M,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,24,3/1/2009,Q,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,29,6/1/2009,Q,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,39,9/1/2009,Q,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,29,12/1/2009,Q,P,I
15165,D07,3014263,1,5500016646,10,342,0,EA ,117,2/28/2010,A,P,I
15165,D07,3014548,1,FORECAST ,0,12,0,EA ,2,11/1/2008,M,P,I
15165,D07,3014548,1,FORECAST ,0,12,0,EA ,4,9/1/2009,Q,P,I
15165,D07,3014548,1,FORECAST ,0,12,0,EA ,4,2/28/2010,A,P,I
15165,D07,3014548,1,FORECAST ,0,12,0,EA ,2,2/28/2011,A,P,I
15165,D07,3015565,1,5500029474,20,80,72,EA ,4,2/27/2008,D,S,S
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,4/28/2008,W,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,7/1/2008,M,P,I
15165,D07,3015565,1,5500029474,20,80,0,EA ,4,7/29/2008,D,P,S
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,8/1/2008,M,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,10/1/2008,M,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,1/1/2009,M,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,6,3/1/2009,Q,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,6,6/1/2009,Q,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,9,9/1/2009,Q,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,3,12/1/2009,Q,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,24,2/28/2010,A,P,I
15165,D07,3015565,1,5500029474,20,69,0,EA ,6,2/28/2011,A,P,I
15165,D07,3016263,1,4501054662,10,24,0,EA ,24,1/29/2008,D,S,I
15165,D07,3016263,1,4501089456,10,24,0,EA ,24,3/27/2008,D,S,A
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,5/1/2008,M,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,8/1/2008,M,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,10/1/2008,M,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,1/1/2009,M,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,2/1/2009,M,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,48,3/1/2009,Q,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,48,6/1/2009,Q,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,24,9/1/2009,Q,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,48,12/1/2009,Q,P,I
15165,D07,3016263,1,FORECAST ,0,432,0,EA ,144,2/28/2010,A,P,I
15165,D07,3017980,1,4501051048,10,10,0,EA ,10,8/8/2008,D,S,I
15165,D07,3017980,1,FORECAST ,0,40,0,EA ,10,3/1/2009,Q,P,I
15165,D07,3017980,1,FORECAST ,0,40,0,EA ,10,9/1/2009,Q,P,I
15165,D07,3017980,1,FORECAST ,0,40,0,EA ,20,2/28/2010,A,P,I
15165,D07,3018129,1,5500034364,10,194,180,EA ,14,1/31/2008,D,S,I
15165,D07,3018129,1,5500034364,10,440,0,EA ,14,3/31/2008,W,P,I
15165,D07,3018129,1,5500034364,10,440,0,EA ,14,5/1/2008,M,P,I
15165,D07,3018129,1,5500034364,10,440,0,EA ,14,6/1/2008,M,P,I
